order_id,order_date,customer_name,product_name,category,quantity,unit_price,country
1001,2024-01-05,Jan Kowalski,Laptop,Electronics,1,3500,Poland
1002,2024-01-06,Anna Nowak,Mouse,Electronics,2,80,Poland
1003,2024-01-06,Piotr Wiśniewski,Keyboard,Electronics,1,150,Poland
1004,2024-01-07,Katarzyna Zielińska,Monitor,Electronics,2,900,Germany
1005,2024-01-08,Marcin Kaczmarek,Chair,Furniture,1,350,Poland
1006,2024-01-09,Anna Nowak,Desk,Furniture,1,1200,Germany
1007,2024-01-10,Jan Kowalski,Laptop,Electronics,1,3400,Poland
1008,2024-01-10,Piotr Wiśniewski,Mouse,Electronics,3,75,Germany
1009,2024-01-11,Katarzyna Zielińska,Chair,Furniture,2,360,Germany
1010,2024-01-12,Marcin Kaczmarek,Laptop,Electronics,1,3550,Poland
1011,2024-01-13,Anna Nowak,Printer,Electronics,1,1200,Poland
1012,2024-01-14,Piotr Wiśniewski,Laptop,Electronics,2,3450,Germany
1013,2024-01-15,Katarzyna Zielińska,Desk,Furniture,1,1250,Poland
1014,2024-01-16,Jan Kowalski,Monitor,Electronics,1,950,Germany
1015,2024-01-17,Marcin Kaczmarek,Chair,Furniture,2,360,Poland
1016,2024-01-18,Anna Nowak,Mouse,Electronics,1,85,Germany
1017,2024-01-19,Piotr Wiśniewski,Laptop,Electronics,1,3500,Poland
1018,2024-01-20,Katarzyna Zielińska,Printer,Electronics,1,1100,Germany
1019,2024-01-21,Jan Kowalski,Desk,Furniture,1,1200,Poland
1020,2024-01-22,Marcin Kaczmarek,Laptop,Electronics,1,3550,Germany
1021,2024-02-01,Anna Nowak,Laptop,Electronics,1,3450,Poland
1022,2024-02-02,Piotr Wiśniewski,Mouse,Electronics,2,75,Germany
1023,2024-02-03,Katarzyna Zielińska,Keyboard,Electronics,1,150,France
1024,2024-02-04,Jan Kowalski,Desk,Furniture,1,1200,Poland
1025,2024-02-05,Marcin Kaczmarek,Laptop,Electronics,1,3550,Germany
1026,2024-02-06,Anna Nowak,Chair,Furniture,2,360,Poland
1027,2024-02-07,Piotr Wiśniewski,Monitor,Electronics,1,900,France
